transaction_id,account_id,transaction_type,amount,transaction_date,description
146,366,Debit,4525.84,2021-01-20,
147,501,Debit,2930.45,2023-12-13,Company even information successful forget.
148,834,Debit,3996.03,2024-03-22,
149,959,Debit,513.21,2023-08-29,Wish just social write score.
150,451,Debit,4008.82,2024-01-13,
151,541,Credit,2709.39,2022-12-11,
152,414,Credit,4599.17,2021-12-01,Action great stock radio after industry majority.
153,234,Debit,4944.98,2024-06-25,Quite discover some.
154,694,Credit,281.85,2021-12-12,Accept seem blue either production.
155,129,Debit,554.39,2021-06-10,Charge staff decision east cause institution.
156,400,Credit,1144.66,2023-03-02,
157,832,Credit,4766.49,2023-10-02,
158,638,Debit,3129.45,2022-10-05,Loss challenge never keep training knowledge.
159,91,Debit,1781.47,2023-11-03,Personal successful particular develop.
160,775,Debit,742.69,2024-09-10,Do need similar become.
161,912,Credit,3683.81,2021-11-27,Stuff follow maintain too world study.
162,41,Credit,4426.04,2020-06-30,Sure sit seat improve office.
163,142,Credit,4261.99,2020-04-20,Candidate hope trial range meet assume suggest.
164,365,Credit,,2024-07-14,
165,940,Debit,3652.88,2022-07-03,Dog black air stand bank beyond on than.
166,975,Debit,3855.44,2021-08-28,Hotel white ground natural.
167,140,Debit,2728.37,2023-02-21,Business offer American wind radio person.
168,108,Debit,4100.81,2021-04-20,
169,597,Credit,,2022-10-24,Scientist help oil throughout.
170,755,Credit,3168.5,2020-05-19,Fact none anyone treat statement government.
171,577,Credit,,2023-03-23,Wish executive four may.
172,696,Debit,,,Keep hope they several stop skin.
173,270,Debit,56.64,2024-04-14,
174,167,Credit,2171.55,2024-07-19,
175,968,Debit,3368.18,2023-09-01,Discussion watch choose religious property.
176,817,Debit,861.35,2023-10-05,Safe expert state dark myself important.
177,517,Debit,1260.01,2019-10-18,When state long worker.
178,12,Credit,1606.48,2021-08-12,Continue game resource thank.
179,177,Credit,2654.69,2020-06-21,
180,484,Debit,4544.06,2020-03-31,Decade bar offer since.
181,226,Debit,,2024-05-14,
182,139,Credit,3069.03,2022-11-01,
183,972,Debit,1134.5,2023-07-20,Among use picture five develop paper your.
184,246,Credit,373.49,2020-06-13,Court simple top finish medical by president hit.
185,180,Credit,83.27,2024-09-10,
186,812,Debit,2804.73,2021-05-27,Lot foreign true model quality would.
187,928,Debit,4205.19,2020-02-12,Reason once stage morning measure.
188,770,Debit,4699.87,2023-10-08,Move story common who now.
189,614,Credit,2139.24,2022-06-19,
190,818,Debit,4301.02,2020-12-19,
191,407,Credit,,2022-03-04,Board from consider marriage.
192,687,Debit,1722.24,,Turn course ahead rather local home.
193,502,Debit,1962.2,2021-12-12,
194,961,Credit,1755.34,2022-10-15,Maintain thing employee say.
195,690,Debit,3104.08,2020-04-13,Series our either soon garden.
196,168,Credit,2572.97,2023-02-09,Bad yourself above success if.
197,380,Credit,2007.43,2023-03-13,
198,642,Credit,,2022-05-26,Condition painting gas of.
199,947,Debit,4397.43,2022-09-15,Always start time lay. Wrong then woman evidence.
200,296,Debit,928.75,2021-09-05,Marriage grow modern glass role his possible.
201,432,Credit,4336.97,2024-07-05,
202,756,Debit,2139.27,,Military reality together above real pay.
203,929,Debit,3046.91,2023-03-21,Politics next large ten event.
204,591,Debit,4574.79,2022-04-12,Likely north evening available life.
205,366,Credit,2912.14,2024-08-22,Capital important machine rule might.
206,787,Credit,53.29,2021-08-21,Fly kitchen gas full pick. Center sense entire.
207,831,Credit,817.31,2021-03-27,After lot feel southern take Congress when.
208,657,Credit,541.28,2020-09-26,
209,681,Debit,4763.56,2021-06-03,In phone miss attention thank.
210,26,Debit,837.83,2020-05-20,
211,568,Debit,4581.35,2023-03-15,Agency receive we practice study.
212,487,Credit,1237.06,2023-11-24,Present meeting space decide.
213,44,Credit,3042.41,,
214,682,Debit,530.06,2022-04-21,Court stand major when.
215,709,Debit,4251.77,2022-05-21,That hot ok finish. Despite listen watch board.
216,821,Credit,1737.41,2023-11-01,Today world identify blood easy.
217,806,Debit,,2024-02-23,Easy sister street long pull.
218,546,Debit,3603.94,2020-06-26,Including challenge seem create bad.
219,720,Debit,2883.08,2021-03-10,Every under color value.
220,676,Debit,3470.22,2019-09-28,
221,884,Credit,725.79,2023-04-05,Walk specific if me never general.
222,178,Debit,155.56,2019-09-30,Hospital I tend modern change.
223,71,Credit,4002.22,2023-03-03,Win suffer that forward everything.
224,277,Credit,2212.84,2021-12-25,
225,242,Credit,730.02,2020-03-13,Campaign politics simple.
226,326,Debit,1003.07,2022-09-21,Hour according whole.
227,11,Debit,4044.69,2020-06-24,Site speech bill.
228,651,Debit,850.47,2022-07-14,
229,212,Credit,3473.63,2020-03-07,Inside time protect social ten player.
230,519,Credit,2971.89,2021-04-04,
231,913,Debit,,2019-10-15,
232,648,Debit,,2019-11-03,Adult doctor hope.
233,553,Credit,3741.87,2021-12-21,
234,965,Credit,2128.05,2021-07-13,Region environment audience art ready.
235,196,Credit,1078.7,2023-02-18,Probably imagine improve eight water husband.
236,947,Debit,1935.44,2024-07-31,White skin voice sit figure.
237,72,Credit,858.23,2022-01-03,Government manage tell often station.
238,433,Credit,2497.44,2020-05-29,Ago relate fall public simple.
239,508,Debit,4691.02,2024-05-30,Answer seek than police too administration sure.
240,464,Debit,724.26,2024-08-30,
241,117,Debit,274.33,2022-02-04,Family per most eye defense education.
242,202,Debit,,2023-10-05,I item everyone policy word.
243,648,Debit,1344.83,2022-03-08,
244,963,Credit,982.47,2024-04-29,Throw radio class also day girl relate others.
245,724,Debit,2659.29,2019-11-02,Charge floor certain member must whole.
246,240,Credit,1199.5,2024-04-30,Simply fear skill too trial opportunity.
247,789,Debit,2163.33,,
248,22,Credit,317.09,2019-12-28,Support without add weight them.
249,864,Credit,460.76,2022-07-20,Fine their take security life.
250,482,Debit,4883.73,2023-12-06,Relationship level have paper fast identify.
251,167,Credit,4748.73,2021-03-20,Natural number brother something individual.
252,664,Debit,2757.6,2023-02-28,
253,676,Credit,2852.43,,Million head force find until room simple.
254,616,Credit,663.77,2019-11-08,Science certain arrive ball program walk.
255,903,Debit,3007.61,2020-03-28,Describe three choice activity fill easy.
256,332,Debit,1054.45,,Water cause production the I.
257,241,Debit,254.51,2023-06-15,Would consider though us treatment.
258,821,Credit,1024.83,2022-05-14,
259,280,Debit,2785.55,2020-05-28,Anything story chance rise.
260,997,Credit,3253.23,2021-08-01,
261,357,Debit,,2021-09-01,Money name several call.
262,656,Debit,4885.62,2024-07-12,Growth democratic entire pass fly how heavy.
263,682,Credit,2162.09,2023-07-11,Admit yeah level. Or newspaper happen ever.
264,843,Credit,869.09,2022-03-01,Know everybody half often community also oil.
265,23,Credit,4311.49,2020-07-12,Record control line bring role.
266,220,Credit,231.96,2022-04-17,Family clear hear everybody high behavior around.
267,921,Credit,1095.41,2020-12-09,About environmental building.
268,965,Credit,3241.19,2021-05-07,Food together white kind.
269,166,Credit,2284.36,2024-03-03,Learn southern edge star relationship top.
270,662,Debit,89.84,2021-02-10,Speak less cost very they.
271,314,Credit,3362.32,2022-12-14,Music nearly although up evening focus possible.
272,447,Credit,4999.62,2024-06-29,Enjoy store bring.
273,867,Debit,2386.75,2024-07-21,Class agreement law language.
274,157,Debit,3090.43,2020-01-25,Time size maintain treatment stuff.
275,444,Debit,3618.77,2023-10-05,Statement rise style.
276,558,Credit,3135.48,2023-07-06,Whether education agent.
277,935,Debit,3748.95,2024-01-20,Dark partner for writer. Fire vote fast full.
278,925,Credit,4391.14,2020-10-16,Show why eat talk book.
279,345,Debit,2175.36,2022-05-11,Serve authority laugh detail.
280,698,Debit,1533.11,2024-08-20,Message nature no street.
281,448,Debit,,,Sea behind top plan home trouble.
282,948,Credit,4983.36,2020-12-01,And manage together situation.
283,558,Credit,3722.13,2023-07-17,
284,585,Credit,1859.87,2020-03-26,Popular after government lot cultural.
285,493,Debit,175.46,2023-10-19,
286,263,Debit,1120.14,2023-12-06,Benefit say hot test land.
287,36,Debit,4582.24,2019-11-27,Behind nor watch attorney water like.
288,910,Credit,347.97,2022-02-20,War decade ten any attack suffer.
289,405,Debit,1163.38,2021-01-18,Relate at lot necessary low without have.
290,933,Debit,3874.81,2023-04-23,Land as young than very many.
291,484,Credit,3128.27,2023-02-10,Front year accept identify stand concern.
292,789,Credit,2374.38,2020-03-17,Rise music make Mr. Grow fast travel recognize.
293,766,Credit,196.34,2022-07-03,Deep lawyer phone increase.
294,963,Credit,26.93,2021-12-02,
295,380,Credit,,2021-02-01,Mean season add account experience left thus.
296,39,Credit,1614.98,2019-11-15,Explain certainly either energy design military.
297,457,Credit,4046.25,2020-08-04,
298,559,Credit,813.04,2023-03-20,Father about government item fall.
299,151,Credit,401.36,2023-10-09,Friend ready water hold from.
300,585,Debit,3956.01,2022-11-05,Seek could each mention hot.
301,631,Debit,3606.92,2023-04-16,Health land without notice discussion.
302,230,Credit,343.55,2020-03-28,Senior guy carry floor notice around father.
303,535,Credit,4221.3,2023-09-02,
304,92,Credit,1079.21,2021-07-02,Forward activity other size garden move.
305,670,Debit,3660.29,2024-07-30,Set change for century rest none read.
306,130,Debit,3909.58,2021-01-05,Community week training walk fine data.
307,337,Debit,4782.5,2021-03-30,
308,710,Debit,733.05,2023-12-28,Simply some health rest call.
309,642,Debit,4623.19,2023-04-04,Page much TV majority kid responsibility.
310,57,Credit,1546.3,2023-07-06,
311,786,Debit,402.51,2020-08-11,
312,880,Debit,335.4,2021-06-28,Technology when speech down.
313,361,Debit,4022.19,2021-12-31,Read arm agree mother report.
314,263,Debit,3992.47,2021-05-09,
315,522,Credit,4532.04,2024-04-08,Since whatever agreement situation.
316,615,Credit,271.89,2023-10-03,Which state since its. Bag serve employee become.
317,336,Debit,493.12,2022-02-22,Eat soldier sound I table five range.
318,896,Debit,502.23,2024-03-14,
319,347,Credit,4460.1,2020-08-08,Realize himself natural herself sense tonight.
320,149,Debit,4801.98,2020-05-05,Treatment he rest certain.
321,168,Credit,,,
322,685,Credit,158.15,2021-05-27,Enough hear owner themselves.
323,751,Debit,3063.81,2022-03-08,Able hope dinner animal box vote over stay.
324,754,Credit,,2021-06-07,Surface age voice sign check one use.
325,753,Debit,,2020-04-23,
326,418,Debit,1773.79,,Whole speech skin this bed.
327,767,Debit,3438.3,2021-11-01,Whom according kid past.
328,986,Credit,2777.81,2023-10-10,Measure conference morning.
329,411,Debit,3721.9,2021-09-19,
330,662,Credit,3402.47,2020-10-27,Indeed fund different start.
331,16,Credit,,2024-02-12,Describe throw which stage world.
332,581,Debit,4498.43,2022-07-26,Blood her another every church.
333,413,Credit,1044.57,2023-02-23,Third news until claim throughout.
334,24,Debit,4424.07,2020-06-10,Though much accept church project ever few.
335,175,Credit,4974.43,2023-02-20,Expert popular accept this.
336,238,Credit,3999.11,2019-12-02,Near purpose strategy present.
337,561,Debit,4793.13,2024-04-11,
338,818,Debit,1886.37,2024-07-04,Those reason pull then religious.
339,765,Debit,3209.44,2024-07-12,Head near thank everything social coach.
340,914,Debit,20.77,2022-11-01,Run resource address.
341,797,Credit,3037.06,2023-02-17,Want five onto state bring coach lawyer.
342,421,Credit,3457.12,2024-07-16,
343,399,Debit,3601.19,2024-01-19,
344,358,Debit,3703.17,2021-04-01,Page need get sing situation artist window.
345,969,Debit,3080.91,2023-11-17,Open let how technology travel something.
346,702,Debit,3958.57,2022-07-09,Thank man job listen or.
347,147,Credit,,2023-05-10,Executive under matter common prepare.
348,728,Credit,4564.5,2022-03-19,Weight management dog ago.
349,838,Credit,122.7,2023-11-23,Must stage price camera degree plan.
350,600,Debit,1772.32,2024-08-06,Project class employee everyone.
351,106,Debit,216.16,2022-12-24,
352,631,Credit,506.81,2023-06-04,Should against knowledge.
353,137,Debit,3260.71,2020-01-13,Kitchen art peace light.
354,447,Debit,4560.03,2021-03-28,Senior team hear subject fear figure stock.
355,584,Debit,2891.77,,Arm red chair west measure energy indeed.
356,598,Debit,2067.87,2024-09-01,Be officer rest clearly.
357,723,Credit,1036.96,2019-11-06,Travel trip high court walk table bar pattern.
358,898,Credit,1398.15,2022-09-26,Note sell quality bad these.
359,207,Credit,852.71,,Miss voice five live without sign.
360,646,Debit,4418.46,2024-08-06,No media boy say involve.
361,706,Credit,3641.59,,
362,932,Credit,3471.59,2022-06-02,Walk heart eat himself wait role right.
363,994,Credit,2125.74,2022-07-28,
364,923,Credit,1980.0,2022-03-02,Care official detail spend Mr cause.
365,661,Debit,3919.11,2023-03-17,Send really per fear gun discover throw.
366,318,Credit,2573.41,2023-01-03,
367,168,Debit,236.13,2024-08-08,Realize role course soon range.
368,523,Credit,4864.9,,Real mouth method head special him structure.
369,491,Credit,1238.16,2021-11-18,Action miss movement wear result.
370,311,Credit,,2021-11-13,Of vote continue serious.
371,626,Credit,643.21,2024-06-23,
372,701,Credit,,2023-02-02,Expect agreement choice put.
373,787,Debit,4375.59,2021-12-13,Administration guy right time news.
374,673,Debit,4022.07,2022-07-31,Up under market my own travel.
375,265,Debit,1311.16,2024-03-31,
376,789,Debit,3539.2,,Country simply claim how animal guess.
377,244,Debit,3584.61,2019-09-29,
378,317,Debit,580.94,2023-04-18,Leader network bring need.
379,499,Debit,4424.07,2024-07-30,
380,132,Debit,3961.72,2022-12-19,Pull single professional industry however.
381,965,Credit,,2019-10-10,
382,721,Credit,4681.21,,Magazine design hard force look.
383,188,Credit,1163.92,2023-09-01,
384,478,Debit,,2020-02-11,Direction people design blue cultural.
385,846,Debit,227.11,2024-07-14,
386,749,Credit,517.49,2022-07-03,
387,70,Credit,2353.73,2022-03-10,Per serious perhaps strong hear about.
388,681,Debit,4734.71,2023-02-01,Sound stand politics full manage firm.
389,141,Debit,2767.33,2023-10-21,Whether agree your safe I himself.
390,863,Debit,,2024-04-08,Site issue serious base drop last executive.
391,527,Credit,671.56,2022-03-25,Event today across result agency black wind.
392,966,Debit,2609.88,2020-07-16,Wonder which must land security mother try.
393,618,Debit,3555.97,2022-11-25,Will military particular must oil visit.
394,501,Credit,4982.86,2021-05-07,Pm successful card lead born address.
395,911,Debit,543.83,2022-07-21,Election crime remember wall woman moment year.
396,247,Credit,3641.42,2020-03-21,
397,869,Credit,4019.21,2023-02-27,
398,291,Debit,3888.24,2020-03-09,Kid full position natural.
399,677,Credit,2744.44,2020-12-02,Rate itself practice stock child.
400,182,Debit,4063.26,2021-08-11,Travel machine know toward the.
401,744,Credit,4680.2,2021-06-03,Natural class play society TV.
402,983,Credit,4955.46,2022-06-13,Smile available water vote market.
403,953,Debit,334.47,2023-09-16,Itself rich day than bad relationship nearly.
404,703,Debit,4312.26,2024-03-20,Across evening system Mr fill say.
405,711,Credit,4875.53,2024-09-14,
406,281,Debit,4791.46,2022-06-28,Lay shoulder senior while. Only rule body adult.
407,587,Credit,3857.84,2023-08-30,Say toward effort hot.
408,804,Debit,4159.97,2021-05-25,Type within issue each paper thing.
409,277,Debit,4931.99,2023-09-13,Defense ball change heavy crime another.
410,34,Credit,,,But base white culture box despite exist.
411,778,Debit,3533.49,2021-11-20,Establish arm join research especially region.
412,273,Debit,3522.57,2023-10-31,Local say never morning mind require.
413,468,Debit,3962.37,2022-12-11,Deep establish your include.
414,238,Debit,4586.13,2024-04-13,Future mouth skill responsibility general.
415,218,Debit,970.31,2024-03-05,
416,541,Credit,3462.9,2020-08-10,Cup there quite wrong know responsibility for.
417,688,Debit,3843.73,2024-07-03,
418,909,Credit,4579.64,,Audience three meet on vote base.
419,654,Debit,1624.04,2021-02-04,Someone here affect edge yet method.
420,213,Credit,495.35,2023-02-04,Then site successful.
421,167,Credit,3292.83,,Law above share turn artist toward.
422,454,Debit,2922.47,2020-07-15,
423,385,Credit,2593.14,2024-02-29,Art edge people pressure there third else.
424,844,Debit,1268.0,,Let action eat technology nor miss.
425,533,Debit,4511.03,2024-07-17,Training travel effect take drug.
426,941,Credit,4265.45,2023-01-12,Hope base two down dark.
427,521,Credit,3130.51,2023-01-30,Commercial can movie down third house song.
428,527,Debit,216.76,2020-10-03,Heart there real operation official.
429,46,Debit,1500.41,2019-09-28,Sister reduce where opportunity once.
430,233,Debit,,2024-01-19,Not yard south store.
431,36,Credit,,2022-02-11,Open drug represent break theory note cup.
432,231,Debit,,2020-06-25,Center family edge focus.
433,838,Debit,4763.48,2019-11-28,Reality water guy I stand.
434,479,Credit,3886.0,2024-08-02,Phone maintain fire month white keep issue.
435,165,Credit,431.32,2022-02-15,Successful discussion add dream.
436,117,Debit,3480.65,2022-11-09,
437,218,Credit,4277.93,2022-05-12,Chair chair level easy federal enough deep.
438,798,Debit,4238.68,2019-10-29,
439,920,Debit,4237.91,,Action identify surface thing develop.
440,469,Debit,810.53,2022-09-18,
441,378,Credit,4462.6,2023-02-10,Never site recognize join source.
442,214,Credit,1011.37,2020-01-03,Pick mention perform give discussion prove.
443,676,Credit,1969.19,2020-01-20,Visit move treat brother same church.
444,196,Credit,4129.83,2022-02-14,Pull two gun season and.
445,536,Debit,836.62,2022-04-30,
446,934,Debit,,2020-10-18,Capital white century career race central must.
447,81,Credit,2860.48,2023-02-10,Pay section current.
448,693,Credit,4827.44,2023-02-01,Democrat test prepare civil white.
449,830,Debit,144.57,2021-03-10,
450,198,Debit,,2024-04-29,
451,733,Debit,,2021-04-25,Three past central pay address yard area.
452,814,Debit,1515.25,2020-11-27,From enjoy experience.
453,231,Debit,,2020-07-22,
454,322,Credit,2047.95,2024-05-05,Ok drive in medical talk.
455,507,Debit,1383.68,2021-05-31,Can trial friend step avoid attorney area.
456,411,Credit,4716.19,2021-02-19,Environmental decide customer involve nor listen.
457,568,Debit,3998.26,2022-02-21,Order kitchen wind.
458,731,Credit,2173.91,2020-05-04,Know international on current.
459,88,Debit,3732.82,2022-03-15,
460,321,Credit,,2024-04-19,
461,725,Credit,,2020-10-27,Staff a start crime debate picture sing.
462,162,Credit,4741.03,2023-03-21,
463,465,Debit,4232.44,2022-11-11,Laugh support sing light condition season model.
464,783,Credit,2037.97,2019-11-19,Matter fill Mrs modern policy.
465,36,Credit,,2021-03-07,
466,677,Credit,2213.81,2023-07-16,Risk detail sense option.
467,147,Credit,4207.87,2024-02-19,Here little program herself ready pull.
468,699,Debit,2522.96,2020-04-18,Control and involve policy.
469,966,Debit,3576.53,2024-01-27,
470,710,Credit,2644.61,2022-04-28,Couple because anything since prove east.
471,818,Credit,641.94,2024-09-14,Piece least itself home.
472,101,Credit,588.07,2020-12-28,Officer might degree increase.
473,22,Debit,160.53,2022-11-21,Week industry will. Evidence back mean present.
474,70,Credit,2540.78,2022-06-01,Per use seek continue several trouble trial.
475,111,Debit,2406.2,2021-10-14,Best central beautiful serious future.
476,836,Debit,1119.27,2021-03-29,Reveal risk design purpose.
477,482,Debit,3949.68,2021-01-11,Suggest meeting break watch source.
478,96,Debit,3398.0,2020-04-28,Interest defense left major woman staff.
479,21,Credit,,2022-04-01,Small bill onto according north rather.
480,19,Credit,,2022-03-11,Say push nor customer.
481,11,Debit,1063.53,2024-03-14,
482,119,Debit,,2022-01-20,
483,780,Debit,,2021-03-07,Bar when watch foot recently feel.
484,890,Credit,3667.54,2023-04-20,Military but chair step easy step movie.
485,44,Debit,1937.49,2020-12-07,
486,593,Credit,490.82,2023-02-19,College into political respond.
487,62,Credit,3841.5,2020-07-01,
488,422,Credit,4772.15,2020-10-05,
489,656,Credit,1601.01,2024-07-11,Feel bad risk though.
490,19,Credit,4403.04,2023-08-08,Low skin south difficult bring ahead chair.
491,738,Credit,4843.8,2021-01-29,Many sell agreement land indeed strong.
492,894,Debit,4212.79,2020-08-06,Risk news police now thank.
